b4203	b1435
b3985	b0014
b3985	b0650
b3985	b3983
b3985	b3986
b3985	b3179
b3983	b2891
b3983	b3259
b3983	b3308
b3983	b3305
b3983	b3985
b3983	b3986
b3986	b4143
b3986	b3168
b3986	b2891
b3986	b3317
b3986	b3308
b3986	b3305
b3986	b4203
b3986	b3985
b3986	b3983
b3986	b3310
b3986	b3294
b3986	b0169
b3986	b3314
b3986	b3303
b3986	b3341
b3986	b3307
b3986	b4202
b3231	b3320
b3231	b1716
b3231	b3186
b3231	b3342
b3310	b3986
b3310	b2606
b3310	b3309
b3310	b0119
b3301	b3317
b3301	b3294
b3301	b3185
b3313	b3185
b3313	b3342
b3294	b2830
b3294	b1086
b3294	b3317
b3294	b3986
b3294	b3301
b3294	b3185
b3294	b3302
b3294	b1089
b3304	b2606
b3304	b3315
b3304	b3298
b2606	b2614
b2606	b3169
b2606	b3320
b2606	b3305
b2606	b3310
b2606	b3304
b2606	b3315
b2606	b3309
b2606	b2185
b2606	b3296
b2606	b3230
b2606	b1274
b1716	b3231
b1716	b3186
b3186	b2610
b3186	b1086
b3186	b3231
b3186	b1716
b3186	b3636
b3186	b3342
b3315	b3304
b3315	b2606
b3315	b1089
b3318	b2610
b3318	b3312
b3318	b3703
b3309	b3310
b3309	b2606
b2185	b2606
b3185	b2610
b3185	b3301
b3185	b3313
b3185	b3294
b3185	b3636
b3637	b0783
b3637	b1399
b3637	b3317
b3637	b4203
b3637	b3306
b3312	b3318
b3302	b3294
b1089	b3294
b1089	b3315
b1089	b3230
b1089	b3342
b3636	b0014
b3636	b3984
b3636	b3186
b3636	b3185
b3703	b3318
b3703	b2938
b3703	b0693
b3295	b3357
b3295	b1275
b3295	b3261
b3295	b1922
b3295	b1334
b3295	b3181
b3295	b4143
b3295	b0059
b3295	b4118
b3295	b3169
b3295	b3982
b3295	b3317
b3295	b3987
b3295	b3988
b3295	b3067
b3295	b3461
b3295	b3202
b3295	b3649
b3295	b3296
b3295	b3303
b3295	b3995
b3295	b4062
b3295	b1274
b3987	b1922
b3987	b4143
b3987	b3169
b3987	b3982
b3987	b1086
b3987	b3317
b3987	b3295
b3987	b3988
b3987	b3067
b3987	b3461
b3987	b3202
b3987	b3649
b3987	b3995
b3988	b3723
b3988	b4293
b3988	b1922
b3988	b0473
b3988	b3169
b3988	b3982
b3988	b1086
b3988	b3317
b3988	b3295
b3988	b3987
b3988	b3067
b3988	b3461
b3988	b3202
b3988	b3649
b3988	b3995
b3988	b1274
b3988	b2319
b3067	b2213
b3067	b3357
b3067	b1334
b3067	b0650
b3067	b4118
b3067	b3906
b3067	b3905
b3067	b3783
b3067	b3319
b3067	b3295
b3067	b3987
b3067	b3988
b3067	b3649
b3067	b0169
b3067	b3995
b2573	b3995
b2573	b2572
b2573	b2571
b3461	b0145
b3461	b0015
b3461	b0014
b3461	b2614
b3461	b3295
b3461	b3987
b3461	b3988
b3461	b3995
b3202	b1303
b3202	b3295
b3202	b3987
b3202	b3988
b3202	b3995
b2741	b3995
b3649	b0014
b3649	b4143
b3649	b3295
b3649	b3987
b3649	b3988
b3649	b3067
b3649	b3995
b0911	b3164
b0911	b1084
b0911	b0169
b0911	b3303
b0911	b3321
b0911	b4202
b0169	b4143
b0169	b2231
b0169	b0650
b0169	b3984
b0169	b3986
b0169	b3067
b0169	b0911
b0169	b3314
b3314	b3556
b3314	b1823
b3314	b4312
b3314	b0179
b3314	b3169
b3314	b3986
b3314	b0169
b3314	b3296
b3314	b3303
b3314	b3298
b3296	b1120
b3296	b3556
b3296	b1823
b3296	b0623
b3296	b4172
b3296	b1712
b3296	b0179
b3296	b2830
b3296	b3169
b3296	b2585
b3296	b3704
b3296	b3984
b3296	b2606
b3296	b3295
b3296	b3314
b3296	b3303
b3296	b3306
b3296	b2517
b3296	b2581
b3303	b0990
b3303	b2566
b3303	b3169
b3303	b3984
b3303	b3320
b3303	b3319
b3303	b3986
b3303	b3295
b3303	b0911
b3303	b3314
b3303	b3296
b3303	b3306
b3303	b3230
b3303	b3316
b3303	b0436
b4200	b2891
b4200	b4202
b4200	b3065
b4200	b1719
b3341	b3556
b3341	b1823
b3341	b0623
b3341	b3702
b3341	b0440
b3341	b1718
b3341	b0179
b3341	b3169
b3341	b1086
b3341	b3986
b3341	b3342
b3306	b3984
b3306	b3637
b3306	b3296
b3306	b3303
b3230	b3702
b3230	b3247
b3230	b2606
b3230	b1089
b3230	b3303
b3230	b3298
b3321	b0416
b3321	b0911
b3297	b1718
b3297	b3065
b3342	b0884
b3342	b3231
b3342	b3313
b3342	b3186
b3342	b1089
b3342	b3341
b3342	b0119
b3298	b1823
b3298	b3168
b3298	b1718
b3298	b1086
b3298	b3304
b3298	b3314
b3298	b3230
b3298	b3316
b3298	b3065
b3298	b1274
b3307	b1120
b3307	b3986
b3307	b3316
b3311	b2891
b4202	b0884
b4202	b0179
b4202	b2891
b4202	b3986
b4202	b0911
b4202	b4200
b4202	b3065
b3316	b1718
b3316	b3303
b3316	b3298
b3316	b3307
b0023	b2938
b0023	b0693
b3065	b4200
b3065	b3297
b3065	b3298
b3065	b4202
b3179	b3985
b3995	b1922
b3995	b3295
b3995	b3987
b3995	b3988
b3995	b3067
b3995	b2573
b3995	b3461
b3995	b3202
b3995	b2741
b3995	b3649
b2572	b2573
b2572	b2571
b2571	b2573
b2571	b2572
b1608	b1609
b1609	b1608
b1861	b1860
b1861	b1863
b1860	b0014
b1860	b4143
b1860	b1861
b1863	b1861
b2011	b4059
b0397	b0398
b0398	b0397
b2009	b2231
b2009	b3699
b0723	b0724
b0724	b0723
b0724	b0721
b0724	b0722
b0721	b0724
b0721	b0722
b0722	b0724
b0722	b0721
b0098	b0093
b0098	b0957
b0098	b3609
b0098	b3981
b0098	b3175
b0098	b3300
b3609	b0439
b3609	b0098
b3981	b0098
b3981	b3300
b3175	b0098
b3175	b3300
b3300	b0093
b3300	b0098
b3300	b3981
b3300	b3175
b3590	b3317
b0687	b3019
b3349	b0215
b3349	b0440
b3349	b3228
b4062	b3295
b2938	b3703
b2938	b0023
b0693	b3703
b0693	b0023
b3650	b1094
b3650	b3183
b2576	b0143
b2576	b3317
b4059	b3935
b4059	b2565
b4059	b2011
b3228	b0438
b3228	b4143
b3228	b3349
b2669	b0460
b2669	b1237
b2669	b1625
b0728	b0729
b0729	b0728
b1683	b1682
b1683	b1681
b1682	b1683
b1682	b1681
b1681	b1683
b1681	b1682
b1679	b1680
b1680	b1679
b0958	b0095
b0958	b0439
b1886	b1884
b1886	b1887
b3836	b3838
b3838	b3836
b3838	b3839
b3839	b3838
b3616	b4143
b2103	b4143
b3991	b4143
b3990	b4143
b1719	b4143
b1719	b4200
b0436	b3303
b0739	b0929
b0739	b0740
b0739	b0737
b0739	b0738
b0739	b0742
b0740	b4036
b0740	b1677
b0740	b0957
b0740	b2215
b0740	b0929
b0740	b0741
b0740	b0241
b0740	b0739
b3035	b0463
b3035	b0462
b0737	b0739
b0737	b0738
b0738	b0739
b0738	b0737
b1252	b3966
b1252	b3006
b1252	b3005
b1252	b4291
b1252	b0584
b1252	b0150
b1252	b1677
b1252	b0957
b1274	b2606
b1274	b3295
b1274	b3988
b1274	b3298
b0997	b1591
b0997	b0996
b0996	b0997
b0996	b0993
b0995	b0993
b0993	b0996
b0993	b0995
b3919	b0903
b1260	b1261
b1261	b1260
b3781	b0888
b0888	b3781
b0170	b3339
b0170	b3980
